timestamp,open,high,low,close,volume
2023-11-25 14:00:00,37720.2,37720.39,37646.6,37677.22,427.5047
2023-11-25 15:00:00,37677.22,37712.0,37620.0,37704.38,487.65195
2023-11-25 16:00:00,37704.38,37760.97,37699.99,37739.01,363.13579
2023-11-25 17:00:00,37739.02,37796.79,37739.01,37765.37,426.14657
2023-11-25 18:00:00,37765.37,37820.0,37756.24,37815.63,450.92125
2023-11-25 19:00:00,37815.63,37835.39,37790.1,37819.43,381.86056
2023-11-25 20:00:00,37819.43,37888.0,37763.84,37788.99,763.3333
2023-11-25 21:00:00,37788.99,37809.93,37768.06,37793.37,374.10262
2023-11-25 22:00:00,37793.38,37793.38,37711.76,37725.01,414.96741
2023-11-25 23:00:00,37725.01,37796.76,37714.0,37780.67,278.76509
2023-11-26 00:00:00,37780.67,37784.63,37730.69,37742.1,384.01531
2023-11-26 01:00:00,37742.1,37742.11,37678.16,37680.53,442.9491
2023-11-26 02:00:00,37680.52,37749.99,37662.18,37744.0,318.62001
2023-11-26 03:00:00,37744.01,37745.9,37723.6,37730.38,231.97078
2023-11-26 04:00:00,37730.39,37759.7,37694.48,37759.7,293.05501
2023-11-26 05:00:00,37759.7,37773.22,37736.21,37773.21,257.23329
2023-11-26 06:00:00,37773.22,37791.1,37729.0,37786.23,403.51859
2023-11-26 07:00:00,37786.23,37793.67,37752.21,37789.78,344.06544
2023-11-26 08:00:00,37789.77,37814.63,37750.73,37755.48,419.78255
2023-11-26 09:00:00,37755.48,37783.29,37736.3,37759.58,341.44987
2023-11-26 10:00:00,37759.57,37759.72,37697.31,37697.31,427.54128
2023-11-26 11:00:00,37697.31,37719.99,37666.8,37679.31,568.35866
2023-11-26 12:00:00,37679.3,37679.31,37355.0,37627.52,2283.29944
2023-11-26 13:00:00,37627.51,37627.52,37356.01,37514.9,1542.20725
2023-11-26 14:00:00,37514.9,37514.91,37287.0,37341.1,1878.68425
2023-11-26 15:00:00,37341.1,37508.0,37291.64,37437.11,1348.98109
2023-11-26 16:00:00,37437.11,37500.2,37150.0,37226.52,2767.47449
2023-11-26 17:00:00,37226.52,37321.06,37154.0,37275.22,1052.34894
2023-11-26 18:00:00,37275.21,37329.68,37163.72,37240.99,861.65083
2023-11-26 19:00:00,37241.0,37386.49,37226.68,37380.07,544.13844
2023-11-26 20:00:00,37380.07,37649.99,37357.68,37588.57,1408.58514
2023-11-26 21:00:00,37588.57,37643.21,37466.66,37616.45,785.58847
2023-11-26 22:00:00,37616.44,37748.0,37600.0,37653.25,854.98562
2023-11-26 23:00:00,37653.25,37653.25,37320.3,37447.43,1504.03338
2023-11-27 00:00:00,37447.42,37558.64,37390.47,37486.4,710.40414
2023-11-27 01:00:00,37486.4,37569.23,37458.0,37489.09,598.99018
2023-11-27 02:00:00,37489.09,37495.0,37230.0,37314.94,986.14916
2023-11-27 03:00:00,37314.93,37332.0,37200.0,37309.25,830.70713
2023-11-27 04:00:00,37309.26,37385.48,37259.42,37371.53,547.65579
2023-11-27 05:00:00,37371.52,37393.57,37300.0,37306.32,457.61904
2023-11-27 06:00:00,37306.32,37419.56,37268.0,37272.06,547.47014
2023-11-27 07:00:00,37272.06,37339.64,37051.0,37283.19,1547.72116
2023-11-27 08:00:00,37283.2,37396.0,37261.0,37338.14,748.92355
2023-11-27 09:00:00,37338.14,37466.0,37337.63,37371.09,1168.27145
2023-11-27 10:00:00,37371.1,37371.1,36960.01,37105.57,2426.01864
2023-11-27 11:00:00,37105.58,37151.09,36900.0,37035.95,2185.65149
2023-11-27 12:00:00,37035.95,37100.0,36902.23,36971.61,1568.88839
2023-11-27 13:00:00,36971.6,37036.72,36766.33,36949.99,2254.01045
2023-11-27 14:00:00,36950.0,36999.99,36715.0,36807.99,2407.72248
2023-11-27 15:00:00,36807.99,37073.42,36746.54,36751.02,1893.01231
2023-11-27 16:00:00,36751.01,37108.54,36707.0,37077.8,1870.05257
2023-11-27 17:00:00,37077.79,37143.43,36886.37,36923.62,1489.91186
2023-11-27 18:00:00,36923.62,37078.12,36890.0,36967.16,1016.6145
2023-11-27 19:00:00,36967.16,37059.58,36787.92,36877.0,1324.81505
2023-11-27 20:00:00,36877.0,36957.36,36800.0,36800.02,836.43022
2023-11-27 21:00:00,36800.01,37060.0,36792.51,37030.87,911.59683
2023-11-27 22:00:00,37030.88,37084.0,36966.66,37083.23,456.36314
2023-11-27 23:00:00,37083.24,37284.0,37082.04,37242.7,1216.07409
2023-11-28 00:00:00,37242.7,37343.57,37191.1,37258.13,938.57779
